Europe/London,Open,High,Low,Close,Volume
2025-07-01T01:00:00+01:00,23923.966,23962.199,23923.955,23961.555,26610
2025-07-01T02:00:00+01:00,23962.577,23990.577,23962.577,23986.066,30840
2025-07-01T03:00:00+01:00,23985.055,23991.699,23957.066,23959.099,21840
2025-07-01T04:00:00+01:00,23959.599,23976.577,23953.055,23969.099,24360
2025-07-01T05:00:00+01:00,23969.699,23971.699,23956.577,23968.055,21960
2025-07-01T06:00:00+01:00,23968.699,23980.699,23951.555,23951.555,29220
2025-07-01T07:00:00+01:00,23953.199,23964.677,23923.188,23944.288,135900
2025-07-01T08:00:00+01:00,23942.766,23977.255,23857.399,23906.799,464280
2025-07-01T09:00:00+01:00,23907.266,23912.399,23811.399,23861.799,378720
2025-07-01T10:00:00+01:00,23862.399,23874.255,23754.755,23793.266,352680
2025-07-01T11:00:00+01:00,23791.766,23823.899,23791.255,23801.299,264000
2025-07-01T12:00:00+01:00,23800.255,23818.766,23743.899,23759.288,239760
2025-07-01T13:00:00+01:00,23759.788,23797.299,23677.799,23715.399,347160
2025-07-01T14:00:00+01:00,23714.288,23817.766,23705.277,23788.277,462600
2025-07-01T15:00:00+01:00,23781.799,23795.755,23693.755,23736.788,571320
2025-07-01T16:00:00+01:00,23735.788,23744.766,23631.299,23661.655,419880
2025-07-01T17:00:00+01:00,23662.177,23711.688,23662.177,23679.188,387240
2025-07-01T18:00:00+01:00,23679.666,23727.688,23679.199,23720.166,281400
2025-07-01T19:00:00+01:00,23720.688,23745.188,23718.299,23729.799,235800
2025-07-01T20:00:00+01:00,23728.666,23728.666,23689.177,23703.255,393240
2025-07-01T21:00:00+01:00,23700.255,23701.188,23687.788,23689.877,27720
2025-07-01T23:00:00+01:00,23708.688,23725.299,23703.355,23725.199,7830
2025-07-02T00:00:00+01:00,23725.855,23727.988,23714.855,23718.355,7290
2025-07-02T01:00:00+01:00,23719.177,23754.099,23701.766,23754.077,38760
2025-07-02T02:00:00+01:00,23753.577,23763.055,23725.555,23727.566,38400
2025-07-02T03:00:00+01:00,23727.199,23774.699,23725.055,23773.055,27900
2025-07-02T04:00:00+01:00,23773.555,23807.577,23770.588,23807.577,29340
2025-07-02T05:00:00+01:00,23808.066,23855.088,23799.588,23836.199,28320
2025-07-02T06:00:00+01:00,23834.055,23835.088,23768.566,23785.599,40020
2025-07-02T07:00:00+01:00,23785.077,23811.199,23761.699,23787.899,189420
2025-07-02T08:00:00+01:00,23787.255,23828.766,23703.288,23736.788,607200
2025-07-02T09:00:00+01:00,23735.777,23799.799,23730.799,23741.766,394680
2025-07-02T10:00:00+01:00,23745.288,23791.777,23736.799,23769.788,338040
2025-07-02T11:00:00+01:00,23770.288,23770.799,23726.766,23741.299,303000
2025-07-02T12:00:00+01:00,23739.266,23792.255,23731.255,23748.899,292920
2025-07-02T13:00:00+01:00,23748.277,23754.399,23610.799,23693.399,569400
2025-07-02T14:00:00+01:00,23694.266,23748.277,23682.299,23706.288,559920
2025-07-02T15:00:00+01:00,23705.266,23804.799,23696.266,23774.899,543000
2025-07-02T16:00:00+01:00,23775.255,23802.677,23751.299,23777.188,347760
2025-07-02T17:00:00+01:00,23776.199,23800.666,23768.666,23790.688,263400
2025-07-02T18:00:00+01:00,23790.155,23792.677,23772.666,23789.155,181800
2025-07-02T19:00:00+01:00,23790.299,23799.677,23786.155,23792.188,183600
2025-07-02T20:00:00+01:00,23791.799,23815.688,23781.655,23803.766,175200
2025-07-02T21:00:00+01:00,23803.255,23803.255,23793.166,23793.166,19815
