Europe/London,Open,High,Low,Close,Volume
2025-03-02T23:00:00+00:00,22605.788,22660.388,22601.455,22626.499,41280
2025-03-03T00:00:00+00:00,22627.355,22674.677,22574.866,22599.188,47490
2025-03-03T01:00:00+00:00,22598.677,22628.699,22584.299,22628.166,33660
2025-03-03T02:00:00+00:00,22626.666,22647.799,22614.299,22635.199,25080
2025-03-03T03:00:00+00:00,22635.699,22637.677,22612.188,22636.677,16800
2025-03-03T04:00:00+00:00,22638.688,22655.188,22633.799,22650.677,14880
2025-03-03T05:00:00+00:00,22650.177,22686.655,22644.177,22679.299,25200
2025-03-03T06:00:00+00:00,22678.677,22720.677,22657.155,22675.299,49080
2025-03-03T07:00:00+00:00,22678.677,22693.899,22596.799,22633.377,252840
2025-03-03T08:00:00+00:00,22635.499,22758.377,22525.499,22613.855,855120
2025-03-03T09:00:00+00:00,22612.999,22818.499,22590.855,22815.877,597360
2025-03-03T10:00:00+00:00,22817.877,22831.377,22746.399,22802.355,303120
2025-03-03T11:00:00+00:00,22807.499,22874.899,22782.499,22870.366,290160
2025-03-03T12:00:00+00:00,22868.499,23185.788,22864.388,23174.277,797520
2025-03-03T13:00:00+00:00,23175.255,23182.288,23132.277,23172.799,474720
2025-03-03T14:00:00+00:00,23172.288,23310.299,23166.299,23186.277,838680
2025-03-03T15:00:00+00:00,23176.777,23230.777,23071.277,23184.755,1222680
2025-03-03T16:00:00+00:00,23186.277,23208.266,23118.799,23171.699,864720
2025-03-03T17:00:00+00:00,23172.199,23211.655,23147.688,23161.177,445920
2025-03-03T18:00:00+00:00,23158.188,23165.699,23056.166,23118.699,650400
2025-03-03T19:00:00+00:00,23117.655,23157.699,23031.155,23035.177,541680
2025-03-03T20:00:00+00:00,23036.688,23039.277,22913.699,23024.788,785040
2025-03-03T21:00:00+00:00,23025.299,23055.688,23025.299,23048.399,27255
2025-03-03T23:00:00+00:00,23059.199,23090.699,23020.388,23031.266,35340
2025-03-04T00:00:00+00:00,23032.288,23052.199,22961.077,23008.077,41445
2025-03-04T01:00:00+00:00,23003.566,23010.199,22935.566,22941.099,48600
2025-03-04T02:00:00+00:00,22940.599,22987.055,22939.055,22972.588,35940
2025-03-04T03:00:00+00:00,22973.566,22992.577,22959.066,22981.077,28800
2025-03-04T04:00:00+00:00,22980.599,22999.566,22953.577,22962.555,25500
2025-03-04T05:00:00+00:00,22966.055,23042.066,22941.077,23028.588,48180
2025-03-04T06:00:00+00:00,23028.099,23038.588,22986.577,23019.099,37920
2025-03-04T07:00:00+00:00,23023.599,23024.188,22901.699,22916.288,393540
2025-03-04T08:00:00+00:00,22912.788,22931.399,22718.266,22753.399,1054440
2025-03-04T09:00:00+00:00,22752.299,22790.399,22679.755,22715.355,697680
2025-03-04T10:00:00+00:00,22714.366,22721.877,22618.855,22665.877,804360
2025-03-04T11:00:00+00:00,22665.499,22691.888,22606.499,22618.377,575880
2025-03-04T12:00:00+00:00,22620.866,22626.899,22548.388,22555.499,683040
2025-03-04T13:00:00+00:00,22556.377,22570.877,22434.366,22436.388,806160
2025-03-04T14:00:00+00:00,22434.899,22543.888,22412.855,22420.866,1410600
2025-03-04T15:00:00+00:00,22419.366,22437.899,22317.388,22385.499,1637040
2025-03-04T16:00:00+00:00,22386.388,22430.277,22313.355,22422.788,1165320
2025-03-04T17:00:00+00:00,22423.255,22487.766,22401.788,22440.266,948960
2025-03-04T18:00:00+00:00,22440.766,22763.766,22433.788,22746.299,883200
2025-03-04T19:00:00+00:00,22744.399,22856.766,22736.288,22811.255,605880
2025-03-04T20:00:00+00:00,22810.255,22890.255,22651.366,22662.499,697920
2025-03-04T21:00:00+00:00,22667.888,22766.866,22659.055,22735.466,51990
2025-03-04T23:00:00+00:00,22793.988,22812.777,22759.599,22792.566,35310
2025-03-05T00:00:00+00:00,22792.155,22815.377,22722.688,22767.655,46845
2025-03-05T01:00:00+00:00,22769.155,22788.177,22671.655,22756.155,53220
2025-03-05T02:00:00+00:00,22756.655,22766.166,22725.155,22728.799,31800
2025-03-05T03:00:00+00:00,22730.166,22800.677,22720.188,22799.699,52860
2025-03-05T04:00:00+00:00,22798.666,22809.177,22763.299,22765.166,19800
2025-03-05T05:00:00+00:00,22766.199,22782.177,22743.677,22776.188,18900
2025-03-05T06:00:00+00:00,22775.166,22800.177,22719.155,22790.699,35100
2025-03-05T07:00:00+00:00,22794.699,22873.788,22794.699,22841.377,312000
2025-03-05T08:00:00+00:00,22837.855,23020.899,22790.877,22904.855,1034400
2025-03-05T09:00:00+00:00,22903.399,23139.499,22879.866,23138.366,778440
2025-03-05T10:00:00+00:00,23141.388,23182.388,23035.399,23044.388,635400
2025-03-05T11:00:00+00:00,23046.888,23133.855,23025.999,23066.377,519840
2025-03-05T12:00:00+00:00,23070.399,23104.888,23017.899,23064.399,570360
2025-03-05T13:00:00+00:00,23065.855,23165.877,23037.855,23056.499,638880
2025-03-05T14:00:00+00:00,23056.899,23080.888,22988.377,23021.355,777600
2025-03-05T15:00:00+00:00,23017.855,23160.888,23017.855,23130.866,1034280
2025-03-05T16:00:00+00:00,23129.877,23161.288,23061.888,23125.399,889320
2025-03-05T17:00:00+00:00,23124.299,23163.899,23108.755,23161.288,663960
2025-03-05T18:00:00+00:00,23161.788,23169.788,23088.755,23158.777,692760
2025-03-05T19:00:00+00:00,23156.277,23223.399,23150.399,23196.755,510240
2025-03-05T20:00:00+00:00,23196.277,23228.266,23171.266,23190.999,475560
2025-03-05T21:00:00+00:00,23190.399,23195.355,23154.299,23169.066,33990
2025-03-05T23:00:00+00:00,23177.099,23206.788,23155.177,23166.088,26460
2025-03-06T00:00:00+00:00,23164.199,23208.999,23152.188,23152.188,34575
2025-03-06T01:00:00+00:00,23151.666,23186.688,23132.166,23176.677,27300
2025-03-06T02:00:00+00:00,23183.177,23204.799,23165.155,23181.688,29100
2025-03-06T03:00:00+00:00,23181.155,23193.666,23161.299,23188.688,19560
2025-03-06T04:00:00+00:00,23189.299,23210.166,23184.677,23205.199,11520
2025-03-06T05:00:00+00:00,23205.655,23212.155,23190.155,23195.299,16020
2025-03-06T06:00:00+00:00,23195.655,23294.166,23195.155,23270.699,31260
2025-03-06T07:00:00+00:00,23274.677,23392.255,23259.799,23292.866,315900
