Europe/London,Open,High,Low,Close,Volume
2025-05-01T01:00:00+01:00,22710.855,22722.188,22684.877,22702.288,27963
2025-05-01T02:00:00+01:00,22702.977,22708.399,22690.655,22704.399,15516
2025-05-01T03:00:00+01:00,22704.666,22714.466,22697.588,22701.366,9360
2025-05-01T04:00:00+01:00,22700.977,22730.199,22697.555,22728.655,10980
2025-05-01T05:00:00+01:00,22728.966,22732.777,22714.499,22723.766,7299
2025-05-01T06:00:00+01:00,22724.199,22751.655,22715.666,22720.288,13041
2025-05-01T07:00:00+01:00,22719.688,22738.088,22714.899,22715.588,14382
2025-05-01T08:00:00+01:00,22715.877,22743.488,22702.988,22729.166,18144
2025-05-01T09:00:00+01:00,22728.155,22750.099,22709.399,22748.277,20763
2025-05-01T10:00:00+01:00,22748.566,22772.999,22740.855,22770.177,17244
2025-05-01T11:00:00+01:00,22770.466,22774.855,22733.099,22744.988,19926
2025-05-01T12:00:00+01:00,22745.288,22763.099,22726.855,22751.455,24750
2025-05-01T13:00:00+01:00,22750.777,22762.677,22702.099,22709.555,37089
2025-05-01T14:00:00+01:00,22710.188,22750.466,22681.566,22681.977,72918
2025-05-01T15:00:00+01:00,22682.999,22807.099,22681.566,22805.699,70821
2025-05-01T16:00:00+01:00,22806.355,22826.099,22704.755,22724.555,49653
2025-05-01T17:00:00+01:00,22724.299,22747.799,22688.399,22702.399,66528
2025-05-01T18:00:00+01:00,22705.799,22769.788,22702.366,22732.266,48033
2025-05-01T19:00:00+01:00,22733.099,22790.999,22728.155,22763.677,43452
2025-05-01T20:00:00+01:00,22763.955,22780.677,22655.999,22673.099,52929
2025-05-01T21:00:00+01:00,22670.977,22706.366,22620.977,22644.377,26676
2025-05-01T23:00:00+01:00,22643.399,22675.077,22634.055,22661.877,13779
2025-05-02T00:00:00+01:00,22661.255,22683.066,22658.166,22668.099,15759
2025-05-02T01:00:00+01:00,22669.799,22768.499,22649.655,22755.099,123525
2025-05-02T02:00:00+01:00,22753.455,22763.477,22722.599,22741.988,107520
2025-05-02T03:00:00+01:00,22742.455,22792.488,22734.466,22785.488,90420
2025-05-02T04:00:00+01:00,22784.999,22799.099,22774.955,22794.466,42300
2025-05-02T05:00:00+01:00,22795.477,22828.999,22786.466,22820.999,58260
2025-05-02T06:00:00+01:00,22820.499,22821.099,22766.999,22799.966,70200
2025-05-02T07:00:00+01:00,22801.599,22803.599,22716.555,22765.166,319080
2025-05-02T08:00:00+01:00,22766.166,22856.666,22756.688,22825.655,735360
2025-05-02T09:00:00+01:00,22826.655,22864.177,22801.188,22802.299,504120
2025-05-02T10:00:00+01:00,22801.155,22892.199,22790.666,22881.688,446040
2025-05-02T11:00:00+01:00,22883.199,22899.177,22851.699,22875.177,365160
2025-05-02T12:00:00+01:00,22874.299,22921.199,22869.199,22896.799,344040
2025-05-02T13:00:00+01:00,22895.655,23050.688,22873.155,23039.655,515640
2025-05-02T14:00:00+01:00,23040.155,23045.799,22936.655,22970.688,733200
2025-05-02T15:00:00+01:00,22973.166,23082.666,22968.655,23077.666,765360
2025-05-02T16:00:00+01:00,23079.688,23106.588,23024.599,23078.599,591360
2025-05-02T17:00:00+01:00,23080.199,23137.555,23080.077,23121.088,518940
2025-05-02T18:00:00+01:00,23122.199,23141.099,23101.055,23119.566,355200
2025-05-02T19:00:00+01:00,23119.055,23160.088,23118.199,23129.055,291360
2025-05-02T20:00:00+01:00,23129.566,23146.055,23109.588,23114.299,471360
2025-05-02T21:00:00+01:00,23112.299,23113.166,23112.299,23112.799,480
2025-05-04T23:00:00+01:00,23079.855,23090.455,23044.255,23046.799,26655
