Europe/Lisbon,Open,High,Low,Close,Volume
2025-10-01T01:00:00+01:00,23899.677,23941.066,23893.388,23914.599,56400
2025-10-01T02:00:00+01:00,23913.699,23923.588,23899.566,23904.077,43980
2025-10-01T03:00:00+01:00,23903.077,23906.199,23889.555,23893.599,34020
2025-10-01T04:00:00+01:00,23894.199,23909.599,23882.199,23902.066,35520
2025-10-01T05:00:00+01:00,23902.577,23905.599,23877.088,23881.199,30840
2025-10-01T06:00:00+01:00,23878.099,23878.199,23827.555,23835.077,46560
2025-10-01T07:00:00+01:00,23834.555,23861.688,23774.188,23792.755,253800
2025-10-01T08:00:00+01:00,23790.777,23822.788,23739.266,23811.799,591240
2025-10-01T09:00:00+01:00,23809.899,23893.299,23785.399,23866.777,428640
2025-10-01T10:00:00+01:00,23866.266,23990.755,23858.788,23970.799,383640
2025-10-01T11:00:00+01:00,23971.266,24010.799,23964.288,24003.899,313800
2025-10-01T12:00:00+01:00,24005.799,24016.277,23979.755,24001.299,304320
2025-10-01T13:00:00+01:00,24000.777,24004.899,23938.255,23983.255,405600
2025-10-01T14:00:00+01:00,23982.799,24094.299,23973.755,24073.799,494880
2025-10-01T15:00:00+01:00,24076.288,24145.399,24069.766,24092.777,451920
2025-10-01T16:00:00+01:00,24091.899,24165.399,24090.288,24141.188,364800
2025-10-01T17:00:00+01:00,24142.177,24192.199,24136.655,24187.799,252480
2025-10-01T18:00:00+01:00,24187.299,24234.699,24180.655,24227.299,249240
2025-10-01T19:00:00+01:00,24228.666,24253.299,24215.655,24246.655,214080
2025-10-01T20:00:00+01:00,24247.177,24265.677,24225.255,24230.299,210960
2025-10-01T21:00:00+01:00,24229.777,24232.299,24217.466,24218.166,10230
2025-10-01T23:00:00+01:00,24229.399,24230.599,24224.388,24224.666,6390
2025-10-02T00:00:00+01:00,24224.388,24232.499,24218.455,24227.055,8775
2025-10-02T01:00:00+01:00,24227.666,24253.099,24211.266,24245.577,43590
2025-10-02T02:00:00+01:00,24246.099,24274.199,24238.699,24269.199,52260
2025-10-02T03:00:00+01:00,24269.566,24269.566,24246.055,24261.566,33240
2025-10-02T04:00:00+01:00,24262.088,24277.699,24255.577,24271.566,34800
2025-10-02T05:00:00+01:00,24272.099,24292.088,24250.199,24255.055,42060
2025-10-02T06:00:00+01:00,24254.588,24290.577,24252.588,24273.099,46500
2025-10-02T07:00:00+01:00,24271.699,24313.155,24243.655,24284.277,219300
2025-10-02T08:00:00+01:00,24275.755,24312.299,24241.788,24282.799,682440
2025-10-02T09:00:00+01:00,24284.766,24448.788,24284.766,24442.266,488280
2025-10-02T10:00:00+01:00,24436.266,24465.399,24384.255,24400.788,396120
2025-10-02T11:00:00+01:00,24401.266,24443.399,24396.799,24442.255,290040
2025-10-02T12:00:00+01:00,24441.266,24463.799,24414.755,24445.399,288960
2025-10-02T13:00:00+01:00,24445.899,24489.766,24431.299,24440.899,273120
2025-10-02T14:00:00+01:00,24441.899,24502.288,24440.255,24457.755,522000
2025-10-02T15:00:00+01:00,24457.266,24461.288,24387.255,24391.277,554040
2025-10-02T16:00:00+01:00,24390.755,24458.199,24385.299,24456.699,419400
2025-10-02T17:00:00+01:00,24456.299,24483.799,24448.677,24461.677,301320
2025-10-02T18:00:00+01:00,24461.199,24483.677,24451.655,24481.299,206040
2025-10-02T19:00:00+01:00,24480.655,24496.799,24471.655,24480.166,171120
2025-10-02T20:00:00+01:00,24479.688,24492.199,24458.677,24460.266,199920
2025-10-02T21:00:00+01:00,24460.299,24461.599,24456.099,24457.188,6000
2025-10-02T23:00:00+01:00,24462.666,24463.699,24445.677,24462.355,7005
2025-10-03T00:00:00+01:00,24462.955,24474.266,24458.655,24474.266,6810
2025-10-03T01:00:00+01:00,24472.988,24514.577,24468.655,24502.577,27375
2025-10-03T02:00:00+01:00,24503.055,24512.699,24481.577,24511.599,35220
2025-10-03T03:00:00+01:00,24512.199,24513.088,24488.099,24509.577,27480
2025-10-03T04:00:00+01:00,24508.566,24530.566,24502.699,24527.199,18660
2025-10-03T05:00:00+01:00,24526.555,24539.588,24505.699,24518.099,27720
2025-10-03T06:00:00+01:00,24516.066,24526.199,24490.055,24491.088,34740
2025-10-03T07:00:00+01:00,24491.555,24514.299,24472.677,24510.777,143400
2025-10-03T08:00:00+01:00,24511.288,24529.399,24447.755,24482.788,448320
2025-10-03T09:00:00+01:00,24480.299,24487.288,24436.288,24449.755,321960
2025-10-03T10:00:00+01:00,24449.266,24462.766,24438.299,24457.788,259440
2025-10-03T11:00:00+01:00,24456.788,24464.788,24429.755,24435.766,171600
2025-10-03T12:00:00+01:00,24432.255,24439.288,24365.288,24371.755,263640
2025-10-03T13:00:00+01:00,24369.899,24384.399,24351.266,24368.788,254880
2025-10-03T14:00:00+01:00,24369.399,24396.299,24343.788,24361.299,301320
2025-10-03T15:00:00+01:00,24356.277,24394.799,24341.799,24380.899,393000
2025-10-03T16:00:00+01:00,24381.266,24404.299,24356.799,24401.155,289200
2025-10-03T17:00:00+01:00,24401.666,24401.666,24381.688,24387.666,141240
2025-10-03T18:00:00+01:00,24387.166,24387.299,24334.177,24348.655,444120
2025-10-03T19:00:00+01:00,24349.166,24382.799,24337.655,24371.177,406920
2025-10-03T20:00:00+01:00,24371.677,24388.177,24366.655,24385.288,276120
2025-10-05T23:00:00+01:00,24400.688,24425.599,24395.166,24422.455,18825
2025-10-06T00:00:00+01:00,24422.799,24439.899,24421.877,24427.499,18540
2025-10-06T01:00:00+01:00,24428.077,24429.599,24392.099,24400.077,44115
2025-10-06T02:00:00+01:00,24401.599,24401.599,24368.599,24384.066,39120
2025-10-06T03:00:00+01:00,24383.088,24390.077,24371.066,24381.088,26400
2025-10-06T04:00:00+01:00,24380.566,24396.055,24360.099,24380.088,40320
2025-10-06T05:00:00+01:00,24380.555,24425.566,24373.077,24412.055,55320
2025-10-06T06:00:00+01:00,24412.588,24412.588,24375.099,24391.055,52380
2025-10-06T07:00:00+01:00,24394.566,24414.188,24358.155,24367.777,202260
2025-10-06T08:00:00+01:00,24368.288,24403.799,24259.777,24316.899,712200
2025-10-06T09:00:00+01:00,24317.755,24398.299,24308.755,24390.288,532080
2025-10-06T10:00:00+01:00,24388.788,24409.299,24350.799,24363.799,316320
2025-10-06T11:00:00+01:00,24363.288,24396.899,24362.277,24392.299,262680
2025-10-06T12:00:00+01:00,24393.266,24456.788,24389.255,24448.399,314040
2025-10-06T13:00:00+01:00,24447.788,24453.899,24400.255,24431.777,294120
2025-10-06T14:00:00+01:00,24432.255,24484.766,24393.755,24397.255,430920
2025-10-06T15:00:00+01:00,24399.399,24451.399,24374.266,24424.777,423480
2025-10-06T16:00:00+01:00,24424.299,24430.777,24364.288,24395.799,316560
