Europe/London,Open,High,Low,Close,Volume
2025-01-01T23:00:00+00:00,19849.355,19875.099,19818.466,19840.499,21270
2025-01-02T00:00:00+00:00,19840.888,19851.799,19773.499,19842.266,52275
2025-01-02T01:00:00+00:00,19841.777,19896.299,19840.266,19889.299,47640
2025-01-02T02:00:00+00:00,19888.899,19908.777,19884.255,19895.777,30420
2025-01-02T03:00:00+00:00,19896.788,19899.399,19867.266,19870.788,25980
2025-01-02T04:00:00+00:00,19871.277,19882.399,19863.288,19879.255,26640
2025-01-02T05:00:00+00:00,19879.899,19925.266,19877.255,19923.288,36780
2025-01-02T06:00:00+00:00,19923.766,19943.788,19911.399,19916.277,49620
2025-01-02T07:00:00+00:00,19916.788,19966.877,19916.788,19936.488,184200
2025-01-02T08:00:00+00:00,19938.466,20022.499,19893.466,19937.499,504660
2025-01-02T09:00:00+00:00,19936.499,19958.099,19876.466,19911.099,357400
2025-01-02T10:00:00+00:00,19911.477,19915.477,19837.455,19856.499,282300
2025-01-02T11:00:00+00:00,19857.488,19905.477,19824.955,19903.599,233300
2025-01-02T12:00:00+00:00,19904.099,19937.988,19883.455,19910.999,225800
2025-01-02T13:00:00+00:00,19910.488,19966.077,19910.488,19942.199,203100
2025-01-02T14:00:00+00:00,19943.055,19986.199,19912.199,19969.099,443900
2025-01-02T15:00:00+00:00,19970.088,20000.199,19934.066,19988.088,573200
2025-01-02T16:00:00+00:00,19989.055,20038.966,19948.077,19985.966,507700
2025-01-02T17:00:00+00:00,19985.599,20011.999,19895.099,19940.499,583200
2025-01-02T18:00:00+00:00,19941.599,19941.599,19904.477,19926.466,496300
2025-01-02T19:00:00+00:00,19925.966,19951.599,19919.466,19925.455,373900
2025-01-02T20:00:00+00:00,19926.488,19966.466,19926.466,19957.077,396700
2025-01-02T21:00:00+00:00,19955.599,19967.277,19951.355,19963.077,20124
2025-01-02T23:00:00+00:00,19955.399,19957.888,19923.855,19935.355,11040
2025-01-03T00:00:00+00:00,19934.199,19991.999,19930.677,19988.377,17758
2025-01-03T01:00:00+00:00,19987.855,19995.377,19975.877,19989.899,24750
2025-01-03T02:00:00+00:00,19989.377,20004.499,19985.366,19996.888,24500
2025-01-03T03:00:00+00:00,19997.877,20007.999,19994.899,19995.499,22200
2025-01-03T04:00:00+00:00,19995.866,19997.999,19987.855,19989.399,13250
2025-01-03T05:00:00+00:00,19989.877,19990.399,19976.888,19987.855,16950
2025-01-03T06:00:00+00:00,19987.499,19996.377,19982.899,19986.399,24650
2025-01-03T07:00:00+00:00,19983.388,20011.477,19970.099,20003.588,121550
2025-01-03T08:00:00+00:00,20002.555,20034.099,19917.066,19924.699,406700
2025-01-03T09:00:00+00:00,19923.577,19979.088,19916.066,19967.699,270100
2025-01-03T10:00:00+00:00,19968.577,19969.599,19918.577,19927.099,203260
2025-01-03T11:00:00+00:00,19926.555,19966.199,19926.555,19952.566,159700
2025-01-03T12:00:00+00:00,19951.588,19962.066,19938.066,19955.577,156700
2025-01-03T13:00:00+00:00,19955.077,19969.699,19890.055,19907.588,193700
2025-01-03T14:00:00+00:00,19909.566,19949.699,19889.566,19924.699,333800
2025-01-03T15:00:00+00:00,19925.555,19930.077,19864.555,19903.599,513300
2025-01-03T16:00:00+00:00,19907.088,19927.599,19881.077,19900.966,352200
2025-01-03T17:00:00+00:00,19900.466,19913.599,19892.988,19903.999,234700
2025-01-03T18:00:00+00:00,19903.488,19918.488,19893.455,19901.988,177800
2025-01-03T19:00:00+00:00,19901.099,19916.999,19898.966,19905.599,185500
2025-01-03T20:00:00+00:00,19904.599,19911.599,19895.955,19907.555,189600
2025-01-03T21:00:00+00:00,19906.588,19906.588,19906.588,19906.588,100
2025-01-05T23:00:00+00:00,19903.977,19909.899,19881.888,19901.777,11424
2025-01-06T00:00:00+00:00,19903.466,19935.999,19893.799,19923.355,19422
2025-01-06T01:00:00+00:00,19922.888,19938.399,19914.366,19936.855,18800
2025-01-06T02:00:00+00:00,19936.377,19947.399,19927.377,19945.377,17100
2025-01-06T03:00:00+00:00,19945.888,19959.399,19944.499,19950.366,10350
2025-01-06T04:00:00+00:00,19949.888,19963.499,19941.399,19962.399,10750
2025-01-06T05:00:00+00:00,19963.377,19984.499,19963.377,19983.877,14350
2025-01-06T06:00:00+00:00,19984.399,20005.899,19983.855,19989.855,19050
2025-01-06T07:00:00+00:00,19986.999,20000.966,19938.977,19973.199,129900
2025-01-06T08:00:00+00:00,19979.555,19999.588,19918.577,19976.588,278600
2025-01-06T09:00:00+00:00,19979.599,20008.199,19973.066,19993.099,206300
2025-01-06T10:00:00+00:00,19992.077,19994.588,19949.588,19977.199,138800
2025-01-06T11:00:00+00:00,19977.699,20177.099,19951.088,20166.277,421400
2025-01-06T12:00:00+00:00,20164.255,20198.299,20151.255,20157.788,262900
2025-01-06T13:00:00+00:00,20157.277,20158.288,20088.255,20147.288,211800
2025-01-06T14:00:00+00:00,20146.255,20158.899,19993.277,20104.288,534100
2025-01-06T15:00:00+00:00,20103.766,20204.788,20090.799,20196.399,371600
2025-01-06T16:00:00+00:00,20197.399,20247.199,20174.277,20224.677,288100
2025-01-06T17:00:00+00:00,20223.799,20223.799,20187.177,20196.677,199600
2025-01-06T18:00:00+00:00,20196.299,20197.155,20153.655,20157.699,205600
2025-01-06T19:00:00+00:00,20158.166,20160.199,20119.666,20120.677,212900
2025-01-06T20:00:00+00:00,20119.655,20138.166,20109.799,20134.766,195400
2025-01-06T21:00:00+00:00,20134.777,20148.399,20132.399,20143.299,19856
2025-01-06T23:00:00+00:00,20144.788,20154.788,20134.855,20136.699,11436
2025-01-07T00:00:00+00:00,20135.688,20152.099,20128.988,20137.066,19338
2025-01-07T01:00:00+00:00,20136.588,20146.599,20126.077,20139.088,27800
2025-01-07T02:00:00+00:00,20138.555,20146.077,20116.099,20117.066,14650
2025-01-07T03:00:00+00:00,20116.588,20133.199,20106.555,20132.699,16850
2025-01-07T04:00:00+00:00,20133.066,20142.699,20128.066,20129.199,14900
2025-01-07T05:00:00+00:00,20129.566,20135.599,20108.077,20133.566,22450
2025-01-07T06:00:00+00:00,20133.099,20144.199,20114.099,20119.555,26150
2025-01-07T07:00:00+00:00,20120.566,20184.755,20114.155,20175.788,130650
2025-01-07T08:00:00+00:00,20179.288,20241.288,20148.277,20221.299,387500
2025-01-07T09:00:00+00:00,20222.288,20269.755,20204.755,20220.788,254400
2025-01-07T10:00:00+00:00,20221.277,20288.255,20220.766,20272.266,204300
2025-01-07T11:00:00+00:00,20271.299,20303.899,20264.277,20272.788,177000
2025-01-07T12:00:00+00:00,20273.288,20326.788,20265.266,20311.799,143700
2025-01-07T13:00:00+00:00,20312.766,20350.788,20310.777,20347.399,158500
2025-01-07T14:00:00+00:00,20346.777,20391.799,20339.299,20340.288,253700
2025-01-07T15:00:00+00:00,20342.788,20346.399,20253.255,20316.266,607800
2025-01-07T16:00:00+00:00,20314.777,20351.699,20304.299,20318.688,433600
2025-01-07T17:00:00+00:00,20319.699,20339.688,20301.799,20322.666,271000
2025-01-07T18:00:00+00:00,20322.155,20348.699,20322.155,20326.655,169300
2025-01-07T19:00:00+00:00,20326.155,20334.299,20300.677,20306.688,130600
2025-01-07T20:00:00+00:00,20306.199,20307.666,20261.199,20291.399,243600
2025-01-07T21:00:00+00:00,20286.299,20304.299,20278.688,20303.366,13240
2025-01-07T23:00:00+00:00,20294.666,20318.588,20273.377,20316.866,10524
2025-01-08T00:00:00+00:00,20317.677,20328.099,20291.399,20300.555,13536
2025-01-08T01:00:00+00:00,20299.566,20322.066,20299.055,20318.066,11550
2025-01-08T02:00:00+00:00,20316.699,20320.199,20295.577,20313.566,15600
2025-01-08T03:00:00+00:00,20314.066,20317.066,20301.088,20311.055,17700
2025-01-08T04:00:00+00:00,20311.699,20315.088,20297.099,20300.699,11400
2025-01-08T05:00:00+00:00,20300.077,20322.077,20297.555,20320.588,16850
2025-01-08T06:00:00+00:00,20321.699,20322.199,20285.588,20286.555,23750
2025-01-08T07:00:00+00:00,20288.066,20300.666,20262.177,20298.766,107700
2025-01-08T08:00:00+00:00,20299.266,20407.399,20284.777,20380.255,337600
2025-01-08T09:00:00+00:00,20378.255,20416.899,20374.255,20400.277,226700
2025-01-08T10:00:00+00:00,20399.788,20466.755,20398.288,20463.266,178100
2025-01-08T11:00:00+00:00,20462.766,20482.299,20276.755,20352.399,481700
2025-01-08T12:00:00+00:00,20350.288,20351.288,20270.788,20271.799,443000
2025-01-08T13:00:00+00:00,20273.899,20324.899,20251.266,20306.766,419800
2025-01-08T14:00:00+00:00,20307.899,20323.755,20238.899,20270.788,451900
2025-01-08T15:00:00+00:00,20269.777,20320.799,20243.788,20319.799,516800
2025-01-08T16:00:00+00:00,20318.755,20348.666,20301.266,20330.166,335800
2025-01-08T17:00:00+00:00,20329.699,20334.699,20254.666,20299.177,292200
2025-01-08T18:00:00+00:00,20299.699,20341.199,20286.166,20305.655,255300
2025-01-08T19:00:00+00:00,20306.188,20354.799,20294.699,20324.655,329700
2025-01-08T20:00:00+00:00,20325.166,20349.199,20315.799,20342.266,198500
2025-01-08T21:00:00+00:00,20340.788,20361.199,20336.166,20337.855,12748
2025-01-08T23:00:00+00:00,20330.799,20342.699,20315.788,20317.488,7824
2025-01-09T00:00:00+00:00,20319.299,20333.088,20301.166,20330.588,20824
2025-01-09T01:00:00+00:00,20329.577,20343.066,20321.055,20330.066,19150
2025-01-09T02:00:00+00:00,20330.566,20359.099,20330.566,20357.699,14500
2025-01-09T03:00:00+00:00,20357.099,20359.599,20337.599,20338.588,12500
2025-01-09T04:00:00+00:00,20339.588,20342.577,20323.066,20333.577,14600
2025-01-09T05:00:00+00:00,20333.099,20343.599,20328.588,20334.555,12750
2025-01-09T06:00:00+00:00,20334.099,20337.588,20315.088,20320.599,20350
2025-01-09T07:00:00+00:00,20319.555,20324.799,20260.188,20269.299,130650
2025-01-09T08:00:00+00:00,20268.255,20317.299,20247.299,20307.299,374500
2025-01-09T09:00:00+00:00,20308.255,20313.266,20265.277,20286.777,218540
2025-01-09T10:00:00+00:00,20287.755,20323.755,20283.755,20304.399,163200
2025-01-09T11:00:00+00:00,20303.399,20320.288,20286.255,20310.777,155000
2025-01-09T12:00:00+00:00,20311.277,20330.788,20301.288,20329.288,138700
2025-01-09T13:00:00+00:00,20328.777,20360.299,20322.255,20339.399,179300
2025-01-09T14:00:00+00:00,20337.766,20358.255,20326.788,20337.277,139600
2025-01-09T15:00:00+00:00,20337.799,20349.799,20311.799,20328.255,121800
2025-01-09T16:00:00+00:00,20328.755,20330.199,20310.777,20327.799,108700
2025-01-09T17:00:00+00:00,20327.299,20331.699,20320.199,20322.799,30800
2025-01-09T18:00:00+00:00,20323.799,20326.177,20317.799,20321.155,20100
2025-01-09T19:00:00+00:00,20321.666,20326.666,20319.655,20323.188,14500
2025-01-09T20:00:00+00:00,20323.655,20336.677,20322.166,20330.277,25100
2025-01-09T21:00:00+00:00,20330.399,20330.399,20330.399,20330.399,100
2025-01-09T23:00:00+00:00,20340.899,20344.477,20286.766,20307.588,23016
2025-01-10T00:00:00+00:00,20308.466,20314.099,20258.299,20288.577,22366
2025-01-10T01:00:00+00:00,20284.588,20328.566,20279.588,20308.077,23350
2025-01-10T02:00:00+00:00,20307.599,20330.199,20296.566,20327.588,18750
2025-01-10T03:00:00+00:00,20328.199,20341.588,20326.588,20335.088,16500
2025-01-10T04:00:00+00:00,20335.699,20339.699,20317.566,20331.077,12750
2025-01-10T05:00:00+00:00,20331.699,20340.099,20322.077,20329.099,15700
2025-01-10T06:00:00+00:00,20328.599,20328.599,20285.566,20288.577,25100
2025-01-10T07:00:00+00:00,20289.055,20315.699,20288.155,20309.799,99800
2025-01-10T08:00:00+00:00,20302.899,20348.755,20298.266,20334.899,301300
2025-01-10T09:00:00+00:00,20335.766,20339.399,20294.899,20333.755,232720
2025-01-10T10:00:00+00:00,20334.899,20391.899,20325.766,20351.766,189500
2025-01-10T11:00:00+00:00,20352.299,20402.799,20352.299,20391.777,166000
2025-01-10T12:00:00+00:00,20392.799,20401.799,20367.288,20394.766,185100
2025-01-10T13:00:00+00:00,20393.755,20394.766,20267.777,20311.899,520300
2025-01-10T14:00:00+00:00,20313.299,20374.755,20296.777,20314.788,557400
2025-01-10T15:00:00+00:00,20315.266,20315.266,20193.755,20244.577,716500
2025-01-10T16:00:00+00:00,20245.599,20249.566,20186.555,20210.966,497000
2025-01-10T17:00:00+00:00,20212.988,20273.599,20196.599,20269.966,293900
2025-01-10T18:00:00+00:00,20268.988,20306.099,20250.955,20303.477,239800
2025-01-10T19:00:00+00:00,20303.988,20304.966,20261.988,20274.955,261400
2025-01-10T20:00:00+00:00,20273.977,20276.599,20227.955,20244.088,267900
2025-01-10T21:00:00+00:00,20245.566,20245.566,20245.566,20245.566,100
2025-01-12T23:00:00+00:00,20223.177,20252.299,20193.355,20230.299,28716
2025-01-13T00:00:00+00:00,20231.199,20257.388,20220.999,20234.377,26378
2025-01-13T01:00:00+00:00,20233.877,20235.999,20176.499,20197.355,42750
2025-01-13T02:00:00+00:00,20197.999,20215.899,20191.355,20203.399,23850
2025-01-13T03:00:00+00:00,20203.888,20211.388,20169.366,20178.399,24550
2025-01-13T04:00:00+00:00,20178.866,20192.499,20172.399,20183.388,14450
2025-01-13T05:00:00+00:00,20181.355,20190.999,20170.866,20177.999,16050
2025-01-13T06:00:00+00:00,20178.499,20189.366,20170.999,20170.999,25100
2025-01-13T07:00:00+00:00,20171.877,20182.466,20133.466,20158.699,146650
2025-01-13T08:00:00+00:00,20157.555,20182.088,20071.555,20073.199,441900
2025-01-13T09:00:00+00:00,20076.566,20092.199,20047.766,20053.299,314100
2025-01-13T10:00:00+00:00,20052.777,20100.788,20045.799,20068.255,197400
2025-01-13T11:00:00+00:00,20068.777,20085.899,20022.788,20070.288,177900
2025-01-13T12:00:00+00:00,20071.288,20148.599,20052.166,20116.099,222500
2025-01-13T13:00:00+00:00,20117.199,20118.077,20078.088,20089.099,200400
2025-01-13T14:00:00+00:00,20090.066,20159.199,20068.199,20144.055,388300
2025-01-13T15:00:00+00:00,20143.599,20174.055,20126.055,20161.555,382900
