Europe/London,Open,High,Low,Close,Volume
2025-09-01T01:00:00+01:00,23990.799,24023.266,23985.855,24010.077,19214
2025-09-01T02:00:00+01:00,24009.577,24011.088,23959.588,23965.555,17775
2025-09-01T03:00:00+01:00,23966.199,23967.577,23935.055,23947.577,17595
2025-09-01T04:00:00+01:00,23949.088,23953.599,23928.699,23935.555,12285
2025-09-01T05:00:00+01:00,23935.199,23960.088,23933.566,23955.055,12645
2025-09-01T06:00:00+01:00,23952.066,23985.066,23936.599,23968.566,18270
2025-09-01T07:00:00+01:00,23965.577,24016.299,23937.655,23970.799,144810
2025-09-01T08:00:00+01:00,23969.777,24043.255,23969.777,24005.799,337050
2025-09-01T09:00:00+01:00,24006.399,24049.799,23992.755,24028.899,237240
2025-09-01T10:00:00+01:00,24026.799,24026.799,23970.799,23997.399,174150
2025-09-01T11:00:00+01:00,23997.899,24009.399,23963.255,23988.799,130770
2025-09-01T12:00:00+01:00,23988.288,24013.799,23981.255,23999.788,142470
2025-09-01T13:00:00+01:00,23999.255,24016.766,23982.777,24013.799,138780
2025-09-01T14:00:00+01:00,24014.288,24023.899,23976.766,24006.788,153900
2025-09-01T15:00:00+01:00,24008.766,24020.277,23982.766,23999.255,130410
2025-09-01T16:00:00+01:00,23999.799,24041.166,23991.777,24022.188,113310
2025-09-01T17:00:00+01:00,24021.199,24037.677,24017.666,24026.677,34920
2025-09-01T18:00:00+01:00,24024.688,24035.188,24019.155,24030.666,13770
2025-09-01T19:00:00+01:00,24032.155,24033.199,24024.688,24029.799,7740
2025-09-01T20:00:00+01:00,24031.188,24042.199,24021.177,24040.155,20880
2025-09-01T23:00:00+01:00,24024.866,24031.788,24007.066,24007.777,4444
2025-09-02T00:00:00+01:00,24008.766,24009.899,23988.988,24000.099,9955
2025-09-02T01:00:00+01:00,24000.755,24086.599,23999.855,24084.699,28810
2025-09-02T02:00:00+01:00,24084.077,24099.588,24077.199,24083.555,23400
2025-09-02T03:00:00+01:00,24084.066,24092.099,24035.066,24038.199,26505
2025-09-02T04:00:00+01:00,24038.577,24040.099,23987.555,24025.577,23535
2025-09-02T05:00:00+01:00,24026.199,24028.199,24000.566,24009.066,20970
2025-09-02T06:00:00+01:00,24008.199,24009.099,23927.066,23932.566,37350
2025-09-02T07:00:00+01:00,23933.699,23996.177,23917.155,23984.266,127080
2025-09-02T08:00:00+01:00,23983.399,24001.799,23767.255,23787.788,645660
2025-09-02T09:00:00+01:00,23788.255,23836.288,23749.799,23788.288,411660
2025-09-02T10:00:00+01:00,23788.755,23790.766,23746.755,23769.399,294750
2025-09-02T11:00:00+01:00,23769.788,23778.255,23661.899,23695.277,318150
2025-09-02T12:00:00+01:00,23694.288,23708.899,23657.288,23672.788,284670
2025-09-02T13:00:00+01:00,23673.277,23682.266,23537.766,23562.777,464130
