Europe/London,Open,High,Low,Close,Volume
2025-11-02T23:00:00+00:00,23993.945,24021.623,23992.401,24015.045,28650
2025-11-03T00:00:00+00:00,24015.201,24041.234,24014.112,24030.423,30180
2025-11-03T01:00:00+00:00,24029.801,24041.401,24019.801,24022.434,63420
2025-11-03T02:00:00+00:00,24022.934,24042.423,24016.445,24024.301,63060
2025-11-03T03:00:00+00:00,24023.901,24028.401,23991.912,24027.912,51180
2025-11-03T04:00:00+00:00,24027.434,24027.434,24012.423,24016.412,35700
2025-11-03T05:00:00+00:00,24015.801,24035.934,24013.901,24021.401,49920
2025-11-03T06:00:00+00:00,24021.912,24028.945,23995.801,24016.301,54960
2025-11-03T07:00:00+00:00,24013.445,24015.323,23972.812,23978.245,150300
2025-11-03T08:00:00+00:00,23979.712,24150.723,23964.201,24127.201,489480
2025-11-03T09:00:00+00:00,24126.223,24183.712,24117.223,24162.245,348960
2025-11-03T10:00:00+00:00,24163.101,24220.723,24144.601,24218.223,289320
2025-11-03T11:00:00+00:00,24217.701,24252.201,24209.101,24219.234,200610
2025-11-03T12:00:00+00:00,24218.201,24244.245,24183.745,24187.723,172440
2025-11-03T13:00:00+00:00,24186.601,24186.601,24115.101,24129.734,212220
2025-11-03T14:00:00+00:00,24131.712,24189.245,24118.745,24135.734,504000
2025-11-03T15:00:00+00:00,24137.712,24168.745,24110.101,24116.712,594360
2025-11-03T16:00:00+00:00,24117.201,24138.345,24104.712,24129.323,465240
2025-11-03T17:00:00+00:00,24129.701,24162.312,24120.201,24158.334,327120
2025-11-03T18:00:00+00:00,24158.834,24177.823,24154.301,24166.812,168360
2025-11-03T19:00:00+00:00,24169.312,24173.823,24152.334,24155.845,249240
2025-11-03T20:00:00+00:00,24158.201,24161.334,24130.834,24131.734,232320
2025-11-03T21:00:00+00:00,24131.212,24151.823,24128.801,24136.012,38385
2025-11-03T23:00:00+00:00,24130.345,24133.945,24112.401,24115.701,10695
2025-11-04T00:00:00+00:00,24115.423,24115.423,24037.712,24084.401,54405
2025-11-04T01:00:00+00:00,24085.912,24086.923,24057.901,24062.801,54240
2025-11-04T02:00:00+00:00,24062.301,24064.412,24034.434,24039.901,58020
2025-11-04T03:00:00+00:00,24040.434,24063.934,24037.901,24045.901,54420
2025-11-04T04:00:00+00:00,24046.934,24051.923,24020.434,24031.401,53940
2025-11-04T05:00:00+00:00,24031.801,24037.912,23941.801,23955.412,94140
2025-11-04T06:00:00+00:00,23958.901,23958.901,23871.923,23906.401,124980
2025-11-04T07:00:00+00:00,23905.401,23905.934,23803.201,23833.234,293940
2025-11-04T08:00:00+00:00,23832.601,23836.234,23711.723,23784.601,695520
2025-11-04T09:00:00+00:00,23786.723,23812.734,23674.745,23681.223,469920
2025-11-04T10:00:00+00:00,23681.712,23792.723,23672.234,23784.723,378120
2025-11-04T11:00:00+00:00,23784.201,23826.723,23777.101,23805.723,311280
