Europe/London,Open,High,Low,Close,Volume
2026-04-01T01:00:00+01:00,23072.977,23099.588,23037.666,23088.177,150435
2026-04-01T02:00:00+01:00,23088.799,23095.799,23017.188,23034.699,189000
2026-04-01T03:00:00+01:00,23036.688,23054.666,23019.155,23020.677,90660
2026-04-01T04:00:00+01:00,23019.188,23053.799,23014.188,23044.799,75780
2026-04-01T05:00:00+01:00,23045.155,23074.799,23038.699,23070.188,49260
2026-04-01T06:00:00+01:00,23070.666,23112.655,23066.166,23093.699,85260
2026-04-01T07:00:00+01:00,23092.688,23300.188,23092.688,23295.299,573600
2026-04-01T08:00:00+01:00,23296.399,23354.288,23143.777,23149.899,1124760
2026-04-01T09:00:00+01:00,23150.299,23221.755,23106.755,23171.299,1060080
2026-04-01T10:00:00+01:00,23174.755,23198.788,23020.266,23132.766,979200
2026-04-01T11:00:00+01:00,23133.255,23219.399,23081.766,23212.788,828120
2026-04-01T12:00:00+01:00,23209.799,23331.266,23205.266,23307.288,624600
2026-04-01T13:00:00+01:00,23308.255,23397.255,23195.266,23208.755,938280
2026-04-01T14:00:00+01:00,23210.777,23294.766,23146.299,23194.899,1330320
2026-04-01T15:00:00+01:00,23195.299,23307.288,23175.288,23296.288,1285440
2026-04-01T16:00:00+01:00,23296.755,23379.188,23253.655,23375.688,786120
2026-04-01T17:00:00+01:00,23376.177,23384.688,23313.799,23355.699,504240
2026-04-01T18:00:00+01:00,23356.166,23378.677,23310.188,23311.166,324120
2026-04-01T19:00:00+01:00,23311.677,23314.199,23183.177,23219.155,690360
2026-04-01T20:00:00+01:00,23219.699,23347.799,23212.188,23310.266,591720
2026-04-01T21:00:00+01:00,23313.266,23324.299,23304.255,23316.966,26940
2026-04-01T23:00:00+01:00,23306.499,23312.799,23283.166,23288.477,39405
2026-04-02T00:00:00+01:00,23289.188,23305.899,23281.766,23293.788,34395
2026-04-02T01:00:00+01:00,23294.299,23349.666,23263.677,23343.155,149325
2026-04-02T02:00:00+01:00,23344.177,23344.177,22935.166,22976.799,498060
2026-04-02T03:00:00+01:00,22971.699,22984.688,22904.155,22931.299,265920
2026-04-02T04:00:00+01:00,22929.688,22929.688,22858.166,22867.799,185220
2026-04-02T05:00:00+01:00,22868.188,22884.655,22813.299,22841.799,138180
2026-04-02T06:00:00+01:00,22840.688,22871.666,22797.155,22805.177,157080
2026-04-02T07:00:00+01:00,22809.199,22898.777,22809.199,22890.799,500460
2026-04-02T08:00:00+01:00,22890.399,22998.277,22882.755,22993.799,832080
2026-04-02T09:00:00+01:00,22994.277,23001.766,22925.788,22955.788,744720
2026-04-02T10:00:00+01:00,22956.299,22971.788,22876.755,22899.799,494880
2026-04-02T11:00:00+01:00,22898.766,22906.277,22784.399,22819.899,533400
2026-04-02T12:00:00+01:00,22817.755,22839.799,22717.755,22717.755,525120
2026-04-02T13:00:00+01:00,22718.299,22785.288,22669.788,22759.288,605760
2026-04-02T14:00:00+01:00,22760.399,22896.799,22745.399,22889.277,829560
2026-04-02T15:00:00+01:00,22890.299,23248.766,22849.755,23137.788,1146960
2026-04-02T16:00:00+01:00,23137.255,23164.899,23069.199,23108.666,893160
2026-04-02T17:00:00+01:00,23109.299,23160.677,23069.155,23132.188,470520
2026-04-02T18:00:00+01:00,23132.688,23211.199,23124.655,23161.688,315120
2026-04-02T19:00:00+01:00,23162.155,23196.688,23160.677,23181.688,252840
2026-04-02T20:00:00+01:00,23182.655,23211.788,23164.799,23206.277,224160
2026-04-02T21:00:00+01:00,23206.899,23209.266,23193.788,23203.099,20949
2026-04-05T23:00:00+01:00,23038.155,23071.699,22993.488,23066.099,51291
2026-04-06T00:00:00+01:00,23066.899,23070.499,23039.566,23059.766,36243
2026-04-06T01:00:00+01:00,23060.088,23159.266,23057.755,23157.655,49077
2026-04-06T02:00:00+01:00,23157.988,23190.177,23157.366,23169.277,29250
